2017-02-21 00:00:00,Last,ATR20,Close,PC,ACT,Date
AUDCAD,1.009,0.006135,1.009,0.0014888337469,1.0,20170221
AUDCHF,0.7753,0.00529,0.7753,0.00570761447659,1.0,20170221
AUDJPY,87.277,0.7687,87.277,0.00381850595204,1.0,20170221
AUDNZD,1.0721,0.00626,1.0721,0.00252478025061,1.0,20170221
AUDUSD,0.7678,0.0058,0.7678,-0.00104085349987,-1.0,20170221
CADCHF,0.76858043,0.0046998745,0.76858043,0.00445775745711,1.0,20170221
CADJPY,86.5358821,0.746570559,86.5358821,0.0027085731202,1.0,20170221
CHFJPY,112.58725512,0.783281584,112.58725512,-0.00180139609652,-1.0,20170221
EURAUD,1.3727,0.009235,1.3727,-0.00572214978995,-1.0,20170221
EURCAD,1.3847,0.008975,1.3847,-0.00438596491228,-1.0,20170221
EURCHF,1.0639,0.003195,1.0639,-0.000563644903711,-1.0,20170221
EURGBP,0.84447,0.0068015,0.84447,-0.00836083091629,-1.0,20170221
EURJPY,119.78,0.915,119.78,-0.0024152577663,-1.0,20170221
EURNZD,1.4713,0.010415,1.4713,-0.00345434841506,-1.0,20170221
EURUSD,1.0536,0.007735,1.0536,-0.00716170373162,-1.0,20170221
GBPAUD,1.62509141,0.014978165,1.62509141,0.00235637953895,1.0,20170221
GBPCAD,1.6397,0.013565,1.6397,0.00391844731525,1.0,20170221
GBPCHF,1.2598,0.010435,1.2598,0.00792063365069,1.0,20170221
GBPJPY,141.839,1.57685,141.839,0.00618584491406,1.0,20170221
GBPNZD,1.7422,0.01767,1.7422,0.00467101089903,1.0,20170221
GBPUSD,1.2476,0.01049,1.2476,0.00120375571784,1.0,20170221
NZDCAD,0.9413,0.006865,0.9413,-0.000955211207812,-1.0,20170221
NZDCHF,0.72327499,0.0048581375,0.72327499,0.00318241603556,1.0,20170221
NZDJPY,81.42659393,0.6699407,81.42659393,0.00130282558618,1.0,20170221
NZDUSD,0.71612718,0.006142645,0.71612718,-0.00350902903996,-1.0,20170221
USDCAD,1.3142,0.007835,1.3142,0.00251735448928,1.0,20170221
USDCHF,1.0098,0.00693,1.0098,0.00667929418802,1.0,20170221
USDHKD,7.7612,0.002065,7.7612,5.15410782393e-05,1.0,20170221
USDJPY,113.68,1.1245,113.68,0.0049504950495,1.0,20170221
USDSGD,1.4207,0.007635,1.4207,0.00176279791285,1.0,20170221
