pair,filename
EURJPY,EU50000$.CSV
CHFJPY,JPYXE0000$.CSV
GBPUSD,DR50000$.CSV
NZDJPY,JPYXC0000$.CSV
AUDJPY,AD40000$.CSV
GBPNZD,DR%0000$.CSV
USDCAD,QE20000$.CSV
NZDCHF,CHFXC0000$.CSV
EURCHF,EU60000$.CSV
GBPJPY,DR90000$.CSV
AUDCHF,AD50000$.CSV
EURUSD,EU90000$.CSV
GBPCHF,DR^0000$.CSV
USDSGD,QE{0000$.CSV
USDHKD,QE70000$.CSV
EURNZD,EU#0000$.CSV
CADJPY,JPYX00000$.CSV
USDCHF,QE}0000$.CSV
EURCAD,EU20000$.CSV
GBPAUD,AD30000$.CSV
AUDUSD,AD60000$.CSV
AUDCAD,AD70000$.CSV
GBPCAD,DRC0000$.CSV
CADCHF,CHFX00000$.CSV
AUDNZD,AD!0000$.CSV
EURGBP,EU70000$.CSV
USDJPY,QE90000$.CSV
NZDCAD,CAD90000$.CSV
NZDUSD,QE%0000$.CSV
EURAUD,EU10000$.CSV
